doc_id,chunk_id,doc_type,tags,confidence,evidence
doc_233,,治理报告,rating,0.9917,"【治理报告】第233号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年06月20日。生效日期：2026年07月20日。废止日期：2027年08月24日。产品代码：PRD023"
doc_179,,ESG报告,esg;consumer_protection,0.9758,"【ESG报告】第179号通报
投诉处理与适当性评估结果需留痕。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年06月07日。生效日期：2025年07月07日。废止日期：2026年08月11日。产 | 【ESG报告】第179号通报
投诉处理与适当性评估结果需留痕。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年06月07日。生效日期：2025年07月07日。废止日期：2026年08月11日。产品代码：PRD0179。版本："
doc_061,,销售信函,sales_compliance,0.9917,"【销售信函】第61号通报
KYC与风险承受能力评估作为销售合规双录的前置步骤。本通报说明产品更新、客服渠道与合规指引。
发布日期：2023年03月04日。生效日期：2023年04月03日。废止日期：2024年05月07日。产品代码："
doc_277,,ESG报告,esg;consumer_protection,0.997,"【ESG报告】第277号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2027年04月24日。生效日期：2027年05月24日。废止日期：202 | 【ESG报告】第277号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2027年04月24日。生效日期：2027年05月24日。废止日期：2028年06月27日。产品代码：P"
doc_256,,ESG报告,esg;consumer_protection,0.997,"【ESG报告】第256号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年11月28日。生效日期：2026年12月28日。废止日期：202 | 【ESG报告】第256号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年11月28日。生效日期：2026年12月28日。废止日期：2028年02月01日。产品代码：P"
doc_177,,治理报告,rating,0.9917,"【治理报告】第177号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年05月24日。生效日期：2025年06月23日。废止日期：2026年07月28日。产品代码：PRD017"
doc_268,,治理报告,rating,0.9917,"【治理报告】第268号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2027年02月20日。生效日期：2027年03月22日。废止日期：2028年04月25日。产品代码：PRD026"
doc_043,,年度报告,disclosure_gov,0.9237,"【年度报告】第43号通报
本产品强调ESG责任投资策略，绿色金融指标与碳中和承诺同步披露。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年10月29日。生效日期：2022年11月28日。废止日期："
doc_008,,年度报告,disclosure_gov,0.9917,"【年度报告】第8号通报
ESG专章要求公司治理与环境风险信息披露。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年02月26日。生效日期：2022年03月28日。废止日期：2023年05月02日。产品代码：PRD0008。版本：V3.0。当前状态：已"
doc_209,,数据安全白皮书,aml,0.997,"【数据安全白皮书】第209号通报
反洗钱制度加强可疑交易监测与制裁名单比对。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年01月03日。生效日期：2026年02月02日。废止日期：2027年03月09日。产品代码：PRD02"
doc_142,,治理报告,rating,0.9917,"【治理报告】第142号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年09月21日。生效日期：2024年10月21日。废止日期：2025年11月25日。产品代码：PRD014"
doc_106,,年度报告,disclosure_gov,0.9237,"【年度报告】第106号通报
本产品强调ESG责任投资策略，绿色金融指标与碳中和承诺同步披露。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年01月13日。生效日期：2024年02月12日。废止日期"
