id,intent,colloquial_query,canonical_query,rewrite_suggestion,slots,ontology_terms,source_hint,quality
INSQ000001,ELIGIBILITY,利安鑫利来金瑜版终身寿险2022版的投保年龄多少？？ ,利安鑫利来金瑜版终身寿险2022版的投保年龄是多少？,利安鑫利来金瑜版终身寿险2022版的投保年龄是多少？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""意外保障""}","[""终身寿险"", ""意外保障"", ""职业类别""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000002,ELIGIBILITY,想了解下利安鑫利来金瑜版终身寿险2022版的年龄范围多少？,利安鑫利来金瑜版终身寿险2022版的投保年龄是多少？,利安鑫利来金瑜版终身寿险2022版的投保年龄是多少？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""意外保障""}","[""终身寿险"", ""意外保障"", ""职业类别""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000003,ELIGIBILITY,看看利安鑫利来金瑜版终寿2022版的投保年龄多少？？ 给业务能懂的说法,利安鑫利来金瑜版终身寿险2022版的投保年龄是多少？,利安鑫利来金瑜版终身寿险2022版的投保年龄是多少？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""意外保障""}","[""终身寿险"", ""意外保障"", ""职业类别""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000004,ELIGIBILITY,能不能利安鑫利来金瑜版终身寿险的投保年龄上下限与职业要求？,利安鑫利来金瑜版终身寿险的投保年龄上下限与职业要求？,利安鑫利来金瑜版终身寿险的投保年龄上下限与职业要求？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""犹豫期"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""犹豫期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000005,ELIGIBILITY,请问利安鑫利来金瑜版寿险的投保年龄上下限与职业要求？,利安鑫利来金瑜版终身寿险的投保年龄上下限与职业要求？,利安鑫利来金瑜版终身寿险的投保年龄上下限与职业要求？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""犹豫期"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""犹豫期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000006,ELIGIBILITY,能不能利安鑫利来金瑜版寿险的投宝年龄上下限与职业要求？？,利安鑫利来金瑜版终身寿险的投保年龄上下限与职业要求？,利安鑫利来金瑜版终身寿险的投保年龄上下限与职业要求？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""犹豫期"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""犹豫期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000007,ELIGIBILITY,麻烦帮我查查养老/年津产品中，职业等级一般如何约定？？,养老/年金产品中，职业类别一般如何约定？,养老/年金产品中，职业类别一般如何约定？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""年金领取""}","[""终身寿险"", ""年金领取"", ""职业类别""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000008,ELIGIBILITY,想了解下养老/年金产品中，职业类别一般如何约定？,养老/年金产品中，职业类别一般如何约定？,养老/年金产品中，职业类别一般如何约定？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""年金领取""}","[""终身寿险"", ""年金领取"", ""职业类别""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000009,ELIGIBILITY,养老/nianjin产品中，职业等级一般如何约定？,养老/年金产品中，职业类别一般如何约定？,养老/年金产品中，职业类别一般如何约定？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""年金领取""}","[""终身寿险"", ""年金领取"", ""职业类别""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000016,CLAIM_PROCESS,看看利安鑫利来金瑜版终寿的里赔流程与里赔材料要求？,利安鑫利来金瑜版终身寿险的理赔流程与理赔材料要求？,利安鑫利来金瑜版终身寿险的理赔流程与理赔材料要求？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""年金领取""}","[""终身寿险"", ""年金领取"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000017,CLAIM_PROCESS,想了解下利安鑫利来金瑜版终身寿险的怎么赔与里赔材料要求？,利安鑫利来金瑜版终身寿险的理赔流程与理赔材料要求？,利安鑫利来金瑜版终身寿险的理赔流程与理赔材料要求？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""年金领取""}","[""终身寿险"", ""年金领取"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000018,CLAIM_PROCESS,利安鑫利来金瑜版终身寿险的如何理赔与理赔材料要求？,利安鑫利来金瑜版终身寿险的理赔流程与理赔材料要求？,利安鑫利来金瑜版终身寿险的理赔流程与理赔材料要求？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""年金领取""}","[""终身寿险"", ""年金领取"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000019,BENEFIT_RETURN,我想问问包含护理权益的寿险产品有啥？？ 尽量说人话,包含护理权益的终身寿险产品有哪些？,包含护理权益的终身寿险产品有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""护理权益""}","[""终身寿险"", ""护理权益"", ""健康告知""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
